year,month,revenue_type,plan_mln_mnt,actual_mln_mnt,pct_of_plan
2021,1,Total,235400.0,16685.8,7.1
2021,2,Total,235400.0,36582.5,15.5
2021,3,Total,235400.0,57177.5,24.3
2021,4,Total,235400.0,84426.4,35.9
2021,5,Total,235400.0,108155.2,45.9
2021,6,Total,235400.0,137933.8,58.6
2021,7,Total,235400.0,164859.1,70.0
2021,8,Total,235400.0,191255.3,81.2
2021,9,Total,265400.0,221006.8,83.3
2021,10,Total,265400.0,228926.6,86.3
2021,11,Total,265400.0,248066.2,93.5
2021,12,Total,265400.0,268696.5,101.2
2022,1,Total,354050.0,5564.8,1.6
2022,2,Total,354050.0,14840.7,4.2
2022,3,Total,354050.0,22383.8,6.3
2022,4,Total,354050.0,26276.3,7.4
2022,5,Total,291997.0,31496.3,10.8
2022,6,Total,291997.0,34696.0,11.9
2022,7,Total,291997.0,38484.2,13.2
2022,8,Total,291997.0,78426.7,26.9
2022,9,Total,291997.0,118056.5,40.4
2022,10,Total,291997.0,153134.8,52.4
2022,11,Total,291997.0,182144.3,62.4
2022,12,Total,291997.0,216745.2,74.2
2023,1,Total,485780.9,27424.1,5.6
2023,2,Total,485780.9,68154.8,14.0
2023,3,Total,485780.9,71578.0,14.7
2023,4,Total,485780.9,79754.0,16.4
2023,5,Total,485780.9,88555.6,18.2
2023,6,Total,485780.9,188326.2,38.8
2023,7,Total,485780.9,225331.4,46.4
2023,8,Total,485780.9,255752.9,52.6
2023,9,Total,485780.9,283343.3,58.3
2023,10,Total,485780.9,329756.7,67.9
2023,11,Total,485780.9,362090.6,74.5
2023,12,Total,485780.9,401948.5,82.7
2024,1,Total,421903.2,36957.1,8.8
2024,2,Total,421903.2,61169.0,14.5
2024,3,Total,421903.2,106210.8,25.2
2024,4,Total,421903.2,147504.1,35.0
2024,5,Total,421903.2,178017.6,42.2
2024,6,Total,421903.2,183348.5,43.5
2024,7,Total,421903.2,188500.8,44.7
2024,8,Total,421903.2,193249.3,45.8
2024,9,Total,355971.5,201359.9,56.6
2024,10,Total,355971.5,228557.7,64.2
2024,11,Total,355971.5,274316.0,77.1
2024,12,Total,355971.5,322217.0,90.5
2025,1,Total,407301.0,42230.0,10.4
2025,2,Total,407301.0,64607.3,15.9
2025,3,Total,407301.0,87232.7,21.4
2025,4,Total,407301.0,94912.8,23.3
2025,5,Total,407301.0,122208.3,30.0
2025,6,Total,407301.0,212056.0,52.1
2025,7,Total,407301.0,243638.2,59.8
2025,8,Total,407301.0,282696.6,69.4
2025,9,Total,309089.4,305051.2,98.7
2025,10,Total,309089.6,326666.8,105.7
2025,11,Total,309089.6,345286.4,111.7
2025,12,Total,309089.6,422604.5,136.7
2026,1,Total,293986.8,6958.9,2.4
2026,2,Total,293986.8,56706.2,19.3
2026,3,Total,293986.9,83947.1,28.6
2026,4,Total,293986.9,113803.7,38.7
2026,5,Total,293986.9,166871.8,56.8
2026,6,Total,293986.9,191971.7,65.3
